year,election_type,ballot_type,eligible_voters,votes_cast,turnout_pct,suspect,suspect_reason,source_pdf
2009,UK national,FE,41561,3529,8.5,False,,data/raw/2009/pdfs/elect09_fescrutineersreport.pdf
2009,UK national,HE,67954,6634,9.8,False,,data/raw/2009/pdfs/elect09_hescrutineersreport.pdf
2009,UK national,national,117638,10871,9.3,False,,data/raw/2009/pdfs/elect09_natscrutineersreport.pdf
2010,UK national,HE,67620,7025,10.4,False,,data/raw/2010/pdfs/elect10_report_HEUK_HELondoneast.pdf
2010,UK national,national,116268,11448,9.8,False,,data/raw/2010/pdfs/elect10_reportofficersequality.pdf
2011,UK national,HE,120080,14591,12.2,True,"report covers national contests (VP/Treasurer), not HE-only",data/raw/2011/pdfs/elections2011_hevp_hontreas_eq.pdf
2012,UK national,FE,39793,3916,9.8,False,,data/raw/2012/pdfs/Scrutineers_report_FE.pdf
2012,casual vacancy,FE,38114,4498,11.8,True,"election_type is 'casual vacancy', not a main annual ballot",data/raw/2012_cv/pdfs/Scrutineer_report.pdf
2012,UK national,HE,67720,9640,14.2,False,,data/raw/2012/pdfs/Scrutineers_report_HE.pdf
2012,UK national,national,117918,15045,12.8,False,,data/raw/2012/pdfs/GS_scrutineers_report.pdf
2013,UK national,FE,5175,436,8.4,False,,data/raw/2013/pdfs/Scrutineers_report_FE_seats.pdf
2013,UK national,HE,7259,857,11.8,False,,data/raw/2013/pdfs/Scrutineers_report_HE_seats.pdf
2013,casual vacancy,HE,10173,1792,17.6,True,"election_type is 'casual vacancy', not a main annual ballot",data/raw/2013_cv/pdfs/scrutineers_report_HE_NE_2013.pdf
2013,UK national,national,114635,12557,11.0,False,,data/raw/2013/pdfs/Scrutineers_report_national_seats.pdf
2014,UK national,FE,5605,605,10.8,False,,data/raw/2014/pdfs/Scrutineers_report_FE_seats.pdf
2014,UK national,HE,9971,1314,13.2,False,,data/raw/2014/pdfs/Scrutineers_report_HE_seats.pdf
2014,UK national,national,106827,11599,10.9,False,,data/raw/2014/pdfs/Scrutineers_report_national_seats.pdf
2015,UK national,FE,4775,420,8.8,False,,data/raw/2015/pdfs/Scrutineers_report_FE_seats_2015.pdf
2015,UK national,HE,7091,890,12.6,False,,data/raw/2015/pdfs/Scrutineers_report_HE_seats_2015.pdf
2015,UK national,national,106007,11349,10.7,False,,data/raw/2015/pdfs/Scrutineers_report_national_seats_2015.pdf
2016,UK national,FE,4755,363,7.6,False,,data/raw/2016/pdfs/S_report_FE_seats.pdf
2016,UK national,HE,1601,191,11.9,True,eligible_voters=1601 too small for full HE ballot (regional count sheet?),data/raw/2016/pdfs/S_report_HE_seats.pdf
2016,UK national,national,103663,9004,8.7,False,,data/raw/2016/pdfs/S_report_national_seats.pdf
2017,UK national,FE,4862,415,8.5,False,,data/raw/2017/pdfs/Scrutineers_report_FE1.pdf
2017,UK national,HE,8966,1310,14.6,False,,data/raw/2017/pdfs/Scrutineers_report_HE.pdf
2017,UK national,national,101497,13880,13.7,False,,data/raw/2017/pdfs/Scrutineers_report_national_seats.pdf
2017,general secretary,national,101497,13880,13.7,True,"election_type is 'general secretary', not a main annual ballot",data/raw/2017_gs/pdfs/GS_result_scrutineer_report_17.pdf
